Train: epoch-2 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.806	prec@1 75.09	prec@5 92.00	
Train: epoch-2 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.867	prec@1 73.75	prec@5 91.62	
Train: epoch-2 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.868	prec@1 72.38	prec@5 91.31	
Train: epoch-2 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.835	prec@1 74.78	prec@5 92.31	
Train: epoch-2 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.864	prec@1 73.09	prec@5 90.94	
Train: epoch-2 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.822	prec@1 75.16	prec@5 91.31	
Train: epoch-2 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.876	prec@1 73.31	prec@5 90.81	
Train: epoch-2 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.823	prec@1 74.78	prec@5 91.50	
Train: epoch-2 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.850	prec@1 74.34	prec@5 91.19	
Train: epoch-2 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.845	prec@1 74.34	prec@5 91.59	
Train: epoch-2 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.863	prec@1 73.50	prec@5 91.78	
Train: epoch-2 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.838	prec@1 73.91	prec@5 91.66	
Train: epoch-2 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.835	prec@1 74.59	prec@5 91.78	
Train: epoch-2 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.832	prec@1 75.66	prec@5 91.47	
Train: epoch-2 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.829	prec@1 74.03	prec@5 91.50	
Validate: Prec@1 86.99 Validate: Prec@5 98.78  Loss 0.410
Best Prec@1: 86.99

Train: epoch-3 (200/7410)	batch_time 0.19		data_time 0.11		loss 0.767	prec@1 76.94	prec@5 92.38	
Train: epoch-3 (400/7410)	batch_time 0.08		data_time 0.01		loss 0.796	prec@1 75.84	prec@5 91.22	
Train: epoch-3 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.817	prec@1 75.00	prec@5 91.44	
Train: epoch-3 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.844	prec@1 75.69	prec@5 91.72	
Train: epoch-3 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.825	prec@1 74.38	prec@5 92.16	
Train: epoch-3 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.809	prec@1 74.72	prec@5 92.31	
Train: epoch-3 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.823	prec@1 74.75	prec@5 92.41	
Train: epoch-3 (1600/7410)	batch_time 0.09		data_time 0.01		loss 0.767	prec@1 76.97	prec@5 92.81	
Train: epoch-3 (1800/7410)	batch_time 0.08		data_time 0.01		loss 0.797	prec@1 75.75	prec@5 92.34	
Train: epoch-3 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.827	prec@1 74.38	prec@5 92.06	
Train: epoch-3 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.778	prec@1 75.94	prec@5 92.00	
Train: epoch-3 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.806	prec@1 75.41	prec@5 92.16	
Train: epoch-3 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.787	prec@1 75.16	prec@5 92.78	
Train: epoch-3 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.819	prec@1 74.34	prec@5 92.53	
Train: epoch-3 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.820	prec@1 75.16	prec@5 91.09	
Train: epoch-3 (3200/7410)	batch_time 0.09		data_time 0.01		loss 0.831	prec@1 75.47	prec@5 91.22	
Train: epoch-3 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.838	prec@1 74.12	prec@5 91.47	
Train: epoch-3 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.801	prec@1 74.97	prec@5 92.47	
Train: epoch-3 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.772	prec@1 76.09	prec@5 92.72	
Train: epoch-3 (4000/7410)	batch_time 0.09		data_time 0.01		loss 0.819	prec@1 75.38	prec@5 91.34	
Train: epoch-3 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.820	prec@1 74.19	prec@5 92.28	
Train: epoch-3 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.827	prec@1 74.78	prec@5 92.12	
Train: epoch-3 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.786	prec@1 75.91	prec@5 92.28	
Train: epoch-3 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.829	prec@1 75.50	prec@5 91.38	
Train: epoch-3 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.794	prec@1 74.97	prec@5 92.34	
Train: epoch-3 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.779	prec@1 76.25	prec@5 92.56	
Train: epoch-3 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.780	prec@1 77.31	prec@5 92.34	
Train: epoch-3 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.787	prec@1 76.09	prec@5 91.88	
Train: epoch-3 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.788	prec@1 75.94	prec@5 92.41	
Train: epoch-3 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.773	prec@1 76.75	prec@5 92.09	
Train: epoch-3 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.801	prec@1 75.19	prec@5 91.78	
Train: epoch-3 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.786	prec@1 75.69	prec@5 92.75	
Train: epoch-3 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.823	prec@1 75.88	prec@5 91.69	
Train: epoch-3 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.777	prec@1 76.97	prec@5 92.16	
Train: epoch-3 (7000/7410)	batch_time 0.09		data_time 0.01		loss 0.789	prec@1 75.84	prec@5 92.22	
Train: epoch-3 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.825	prec@1 75.56	prec@5 91.78	
Train: epoch-3 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.805	prec@1 75.84	prec@5 92.06	
Validate: Prec@1 89.27 Validate: Prec@5 99.03  Loss 0.347
Best Prec@1: 89.27

Train: epoch-4 (200/7410)	batch_time 0.19		data_time 0.11		loss 0.749	prec@1 76.75	prec@5 92.78	
Train: epoch-4 (400/7410)	batch_time 0.08		data_time 0.01		loss 0.770	prec@1 76.62	prec@5 92.91	
Train: epoch-4 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.762	prec@1 76.88	prec@5 92.53	
Train: epoch-4 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.768	prec@1 76.50	prec@5 92.34	
Train: epoch-4 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.799	prec@1 75.75	prec@5 91.84	
Train: epoch-4 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.765	prec@1 76.38	prec@5 92.81	
Train: epoch-4 (1400/7410)	batch_time 0.09		data_time 0.01		loss 0.795	prec@1 76.28	prec@5 92.31	
Train: epoch-4 (1600/7410)	batch_time 0.09		data_time 0.01		loss 0.722	prec@1 78.56	prec@5 92.88	
Train: epoch-4 (1800/7410)	batch_time 0.09		data_time 0.01		loss 0.788	prec@1 76.16	prec@5 91.81	
Train: epoch-4 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.764	prec@1 76.34	prec@5 92.44	
Train: epoch-4 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.777	prec@1 76.38	prec@5 91.59	
Train: epoch-4 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.760	prec@1 76.47	prec@5 92.25	
Train: epoch-4 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.768	prec@1 76.53	prec@5 92.47	
Train: epoch-4 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.749	prec@1 76.31	prec@5 92.59	
Train: epoch-4 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.779	prec@1 76.31	prec@5 92.12	
Train: epoch-4 (3200/7410)	batch_time 0.08		data_time 0.01		loss 0.778	prec@1 75.59	prec@5 92.62	
Train: epoch-4 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.777	prec@1 77.00	prec@5 91.91	
Train: epoch-4 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.779	prec@1 76.16	prec@5 92.09	
Train: epoch-4 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.775	prec@1 76.44	prec@5 92.31	
Train: epoch-4 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.782	prec@1 75.56	prec@5 92.59	
Train: epoch-4 (4200/7410)	batch_time 0.09		data_time 0.01		loss 0.807	prec@1 75.00	prec@5 91.25	
Train: epoch-4 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.758	prec@1 77.31	prec@5 92.53	
Train: epoch-4 (4600/7410)	batch_time 0.09		data_time 0.01		loss 0.728	prec@1 77.88	prec@5 93.28	
Train: epoch-4 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.744	prec@1 77.84	prec@5 92.88	
Train: epoch-4 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.743	prec@1 78.06	prec@5 92.38	
Train: epoch-4 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.777	prec@1 77.03	prec@5 91.75	
Train: epoch-4 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.745	prec@1 77.59	prec@5 92.84	
Train: epoch-4 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.741	prec@1 77.09	prec@5 92.72	
Train: epoch-4 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.748	prec@1 77.09	prec@5 92.66	
Train: epoch-4 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.756	prec@1 77.25	prec@5 92.12	
Train: epoch-4 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.741	prec@1 77.47	prec@5 93.03	
Train: epoch-4 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.756	prec@1 76.78	prec@5 93.16	
Train: epoch-4 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.716	prec@1 78.16	prec@5 92.91	
Train: epoch-4 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.766	prec@1 76.31	prec@5 92.12	
Train: epoch-4 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.747	prec@1 77.78	prec@5 92.44	
Train: epoch-4 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.727	prec@1 77.75	prec@5 93.47	
Train: epoch-4 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.718	prec@1 77.22	prec@5 93.38	
Validate: Prec@1 89.64 Validate: Prec@5 99.16  Loss 0.327
Best Prec@1: 89.64

Train: epoch-5 (200/7410)	batch_time 0.18		data_time 0.11		loss 0.738	prec@1 76.91	prec@5 92.72	
Train: epoch-5 (400/7410)	batch_time 0.08		data_time 0.01		loss 0.756	prec@1 76.25	prec@5 92.31	
Train: epoch-5 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.770	prec@1 76.06	prec@5 92.34	
Train: epoch-5 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.713	prec@1 77.94	prec@5 92.78	
Train: epoch-5 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.741	prec@1 77.34	prec@5 91.94	
Train: epoch-5 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.706	prec@1 78.50	prec@5 93.97	
Train: epoch-5 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.740	prec@1 77.72	prec@5 92.28	
Train: epoch-5 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.733	prec@1 77.75	prec@5 92.84	
Train: epoch-5 (1800/7410)	batch_time 0.08		data_time 0.01		loss 0.757	prec@1 77.22	prec@5 92.91	
Train: epoch-5 (2000/7410)	batch_time 0.09		data_time 0.01		loss 0.720	prec@1 78.50	prec@5 92.62	
Train: epoch-5 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.701	prec@1 77.56	prec@5 93.62	
Train: epoch-5 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.696	prec@1 77.94	prec@5 93.50	
Train: epoch-5 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.775	prec@1 76.22	prec@5 92.06	
Train: epoch-5 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.750	prec@1 76.91	prec@5 93.06	
Train: epoch-5 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.788	prec@1 76.91	prec@5 91.84	
Train: epoch-5 (3200/7410)	batch_time 0.08		data_time 0.01		loss 0.740	prec@1 77.44	prec@5 92.56	
Train: epoch-5 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.737	prec@1 78.03	prec@5 92.75	
Train: epoch-5 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.745	prec@1 77.75	prec@5 91.84	
Train: epoch-5 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.700	prec@1 78.66	prec@5 93.38	
Train: epoch-5 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.748	prec@1 77.31	prec@5 92.34	
Train: epoch-5 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.708	prec@1 77.69	prec@5 93.34	
Train: epoch-5 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.728	prec@1 77.78	prec@5 92.78	
Train: epoch-5 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.734	prec@1 77.81	prec@5 92.47	
Train: epoch-5 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.718	prec@1 78.84	prec@5 92.38	
Train: epoch-5 (5000/7410)	batch_time 0.09		data_time 0.01		loss 0.697	prec@1 78.72	prec@5 93.44	
Train: epoch-5 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.768	prec@1 77.38	prec@5 92.28	
Train: epoch-5 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.716	prec@1 77.41	prec@5 92.78	
Train: epoch-5 (5600/7410)	batch_time 0.09		data_time 0.01		loss 0.768	prec@1 77.28	prec@5 91.66	
Train: epoch-5 (5800/7410)	batch_time 0.09		data_time 0.01		loss 0.649	prec@1 80.53	prec@5 93.84	
Train: epoch-5 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.765	prec@1 76.56	prec@5 92.09	
Train: epoch-5 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.739	prec@1 77.47	prec@5 92.56	
Train: epoch-5 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.707	prec@1 78.31	prec@5 93.19	
Train: epoch-5 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.681	prec@1 78.97	prec@5 92.78	
Train: epoch-5 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.711	prec@1 78.09	prec@5 93.00	
Train: epoch-5 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.756	prec@1 77.84	prec@5 92.06	
Train: epoch-5 (7200/7410)	batch_time 0.09		data_time 0.01		loss 0.713	prec@1 78.59	prec@5 92.81	
Train: epoch-5 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.709	prec@1 78.66	prec@5 93.06	
Validate: Prec@1 89.94 Validate: Prec@5 99.11  Loss 0.319
Best Prec@1: 89.94

Train: epoch-6 (200/7410)	batch_time 0.19		data_time 0.11		loss 0.750	prec@1 77.34	prec@5 92.25	
Train: epoch-6 (400/7410)	batch_time 0.08		data_time 0.01		loss 0.731	prec@1 77.91	prec@5 92.41	
Train: epoch-6 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.706	prec@1 78.94	prec@5 92.81	
Train: epoch-6 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.698	prec@1 78.72	prec@5 93.12	
Train: epoch-6 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.720	prec@1 78.22	prec@5 92.94	
Train: epoch-6 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.717	prec@1 77.56	prec@5 92.75	
