Train: epoch-2 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.835	prec@1 74.62	
Train: epoch-2 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.816	prec@1 75.44	
Train: epoch-2 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.795	prec@1 76.09	
Train: epoch-2 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.844	prec@1 74.09	
Train: epoch-2 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.782	prec@1 75.81	
Train: epoch-2 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.801	prec@1 75.16	
Validate: Prec@1 88.33  Loss 0.388
Best Prec@1: 88.33

Train: epoch-3 (200/7410)	batch_time 0.19		data_time 0.12		loss 0.841	prec@1 74.62	
Train: epoch-3 (400/7410)	batch_time 0.08		data_time 0.01		loss 0.774	prec@1 77.56	
Train: epoch-3 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.811	prec@1 75.38	
Train: epoch-3 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.812	prec@1 75.28	
Train: epoch-3 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.765	prec@1 77.09	
Train: epoch-3 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.778	prec@1 76.62	
Train: epoch-3 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.799	prec@1 75.81	
Train: epoch-3 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.767	prec@1 77.00	
Train: epoch-3 (1800/7410)	batch_time 0.07		data_time 0.01		loss 0.812	prec@1 76.56	
Train: epoch-3 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.776	prec@1 76.69	
Train: epoch-3 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.731	prec@1 76.81	
Train: epoch-3 (2400/7410)	batch_time 0.07		data_time 0.01		loss 0.817	prec@1 75.50	
Train: epoch-3 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.798	prec@1 75.62	
Train: epoch-3 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.726	prec@1 78.09	
Train: epoch-3 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.765	prec@1 77.75	
Train: epoch-3 (3200/7410)	batch_time 0.08		data_time 0.01		loss 0.763	prec@1 76.88	
Train: epoch-3 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.785	prec@1 76.00	
Train: epoch-3 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.782	prec@1 75.88	
Train: epoch-3 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.766	prec@1 76.97	
Train: epoch-3 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.761	prec@1 76.88	
Train: epoch-3 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.794	prec@1 76.19	
Train: epoch-3 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.761	prec@1 76.94	
Train: epoch-3 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.740	prec@1 77.50	
Train: epoch-3 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.748	prec@1 77.09	
Train: epoch-3 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.762	prec@1 76.88	
Train: epoch-3 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.811	prec@1 75.41	
Train: epoch-3 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.759	prec@1 77.03	
Train: epoch-3 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.786	prec@1 76.38	
Train: epoch-3 (5800/7410)	batch_time 0.07		data_time 0.01		loss 0.738	prec@1 77.28	
Train: epoch-3 (6000/7410)	batch_time 0.07		data_time 0.01		loss 0.770	prec@1 76.25	
Train: epoch-3 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.819	prec@1 75.59	
Train: epoch-3 (6400/7410)	batch_time 0.07		data_time 0.01		loss 0.781	prec@1 76.84	
Train: epoch-3 (6600/7410)	batch_time 0.07		data_time 0.01		loss 0.743	prec@1 77.22	
Train: epoch-3 (6800/7410)	batch_time 0.07		data_time 0.01		loss 0.763	prec@1 77.12	
Train: epoch-3 (7000/7410)	batch_time 0.07		data_time 0.01		loss 0.766	prec@1 77.06	
Train: epoch-3 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.755	prec@1 77.06	
Train: epoch-3 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.764	prec@1 76.50	
Validate: Prec@1 89.44  Loss 0.332
Best Prec@1: 89.44

Train: epoch-4 (200/7410)	batch_time 0.18		data_time 0.11		loss 0.764	prec@1 76.25	
Train: epoch-4 (400/7410)	batch_time 0.07		data_time 0.01		loss 0.729	prec@1 77.88	
Train: epoch-4 (600/7410)	batch_time 0.08		data_time 0.01		loss 0.737	prec@1 77.38	
Train: epoch-4 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.779	prec@1 76.75	
Train: epoch-4 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.711	prec@1 77.56	
Train: epoch-4 (1200/7410)	batch_time 0.08		data_time 0.01		loss 0.726	prec@1 78.28	
Train: epoch-4 (1400/7410)	batch_time 0.08		data_time 0.01		loss 0.756	prec@1 77.78	
Train: epoch-4 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.755	prec@1 77.59	
Train: epoch-4 (1800/7410)	batch_time 0.08		data_time 0.01		loss 0.722	prec@1 78.38	
Train: epoch-4 (2000/7410)	batch_time 0.07		data_time 0.01		loss 0.752	prec@1 77.66	
Train: epoch-4 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.791	prec@1 76.12	
Train: epoch-4 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.747	prec@1 77.19	
Train: epoch-4 (2600/7410)	batch_time 0.07		data_time 0.01		loss 0.735	prec@1 77.06	
Train: epoch-4 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.786	prec@1 76.50	
Train: epoch-4 (3000/7410)	batch_time 0.07		data_time 0.01		loss 0.776	prec@1 76.38	
Train: epoch-4 (3200/7410)	batch_time 0.08		data_time 0.01		loss 0.753	prec@1 76.81	
Train: epoch-4 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.725	prec@1 78.25	
Train: epoch-4 (3600/7410)	batch_time 0.07		data_time 0.01		loss 0.722	prec@1 77.72	
Train: epoch-4 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.717	prec@1 78.03	
Train: epoch-4 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.741	prec@1 77.12	
Train: epoch-4 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.746	prec@1 77.47	
Train: epoch-4 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.730	prec@1 78.12	
Train: epoch-4 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.741	prec@1 77.66	
Train: epoch-4 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.766	prec@1 77.47	
Train: epoch-4 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.758	prec@1 77.50	
Train: epoch-4 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.721	prec@1 77.84	
Train: epoch-4 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.729	prec@1 77.94	
Train: epoch-4 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.769	prec@1 76.66	
Train: epoch-4 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.740	prec@1 77.44	
Train: epoch-4 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.710	prec@1 77.97	
Train: epoch-4 (6200/7410)	batch_time 0.08		data_time 0.01		loss 0.763	prec@1 77.22	
Train: epoch-4 (6400/7410)	batch_time 0.07		data_time 0.01		loss 0.713	prec@1 78.44	
Train: epoch-4 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.772	prec@1 77.12	
Train: epoch-4 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.728	prec@1 77.69	
