Train: epoch-2 (2200/7410)	batch_time 0.07		data_time 0.01		loss 0.860	prec@1 74.69	
Train: epoch-2 (2400/7410)	batch_time 0.07		data_time 0.01		loss 0.849	prec@1 74.22	
Train: epoch-2 (2600/7410)	batch_time 0.07		data_time 0.01		loss 0.872	prec@1 74.50	
Train: epoch-2 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.826	prec@1 75.53	
Train: epoch-2 (3000/7410)	batch_time 0.07		data_time 0.01		loss 0.841	prec@1 74.31	
Train: epoch-2 (3200/7410)	batch_time 0.07		data_time 0.01		loss 0.841	prec@1 75.09	
Train: epoch-2 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.820	prec@1 75.06	
Train: epoch-2 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.904	prec@1 72.38	
Train: epoch-2 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.857	prec@1 73.97	
Train: epoch-2 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.818	prec@1 75.78	
Train: epoch-2 (4200/7410)	batch_time 0.07		data_time 0.01		loss 0.801	prec@1 75.78	
Train: epoch-2 (4400/7410)	batch_time 0.07		data_time 0.01		loss 0.847	prec@1 74.22	
Train: epoch-2 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.831	prec@1 75.31	
Train: epoch-2 (4800/7410)	batch_time 0.07		data_time 0.01		loss 0.841	prec@1 74.84	
Train: epoch-2 (5000/7410)	batch_time 0.07		data_time 0.01		loss 0.842	prec@1 74.62	
Train: epoch-2 (5200/7410)	batch_time 0.07		data_time 0.01		loss 0.814	prec@1 75.81	
Train: epoch-2 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.815	prec@1 75.03	
Train: epoch-2 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.807	prec@1 75.47	
Train: epoch-2 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.817	prec@1 74.97	
Train: epoch-2 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.833	prec@1 75.34	
Train: epoch-2 (6200/7410)	batch_time 0.07		data_time 0.01		loss 0.798	prec@1 76.38	
Train: epoch-2 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.860	prec@1 74.56	
Train: epoch-2 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.814	prec@1 74.78	
Train: epoch-2 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.820	prec@1 75.50	
Train: epoch-2 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.826	prec@1 74.78	
Train: epoch-2 (7200/7410)	batch_time 0.07		data_time 0.01		loss 0.840	prec@1 74.16	
Train: epoch-2 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.805	prec@1 75.31	
Validate: Prec@1 87.95  Loss 0.391
Best Prec@1: 87.95

Train: epoch-3 (200/7410)	batch_time 0.18		data_time 0.12		loss 0.799	prec@1 76.19	
Train: epoch-3 (400/7410)	batch_time 0.07		data_time 0.01		loss 0.822	prec@1 74.81	
Train: epoch-3 (600/7410)	batch_time 0.07		data_time 0.01		loss 0.844	prec@1 75.03	
Train: epoch-3 (800/7410)	batch_time 0.08		data_time 0.01		loss 0.817	prec@1 75.06	
Train: epoch-3 (1000/7410)	batch_time 0.08		data_time 0.01		loss 0.846	prec@1 74.28	
Train: epoch-3 (1200/7410)	batch_time 0.07		data_time 0.01		loss 0.827	prec@1 75.31	
Train: epoch-3 (1400/7410)	batch_time 0.07		data_time 0.01		loss 0.811	prec@1 75.78	
Train: epoch-3 (1600/7410)	batch_time 0.08		data_time 0.01		loss 0.807	prec@1 75.88	
Train: epoch-3 (1800/7410)	batch_time 0.08		data_time 0.01		loss 0.786	prec@1 76.44	
Train: epoch-3 (2000/7410)	batch_time 0.08		data_time 0.01		loss 0.776	prec@1 76.81	
Train: epoch-3 (2200/7410)	batch_time 0.08		data_time 0.01		loss 0.789	prec@1 75.59	
Train: epoch-3 (2400/7410)	batch_time 0.08		data_time 0.01		loss 0.790	prec@1 76.38	
Train: epoch-3 (2600/7410)	batch_time 0.08		data_time 0.01		loss 0.825	prec@1 75.28	
Train: epoch-3 (2800/7410)	batch_time 0.08		data_time 0.01		loss 0.809	prec@1 75.25	
Train: epoch-3 (3000/7410)	batch_time 0.08		data_time 0.01		loss 0.819	prec@1 75.09	
Train: epoch-3 (3200/7410)	batch_time 0.08		data_time 0.01		loss 0.769	prec@1 76.22	
Train: epoch-3 (3400/7410)	batch_time 0.08		data_time 0.01		loss 0.816	prec@1 76.06	
Train: epoch-3 (3600/7410)	batch_time 0.08		data_time 0.01		loss 0.802	prec@1 75.62	
Train: epoch-3 (3800/7410)	batch_time 0.08		data_time 0.01		loss 0.795	prec@1 76.56	
Train: epoch-3 (4000/7410)	batch_time 0.08		data_time 0.01		loss 0.790	prec@1 76.97	
Train: epoch-3 (4200/7410)	batch_time 0.08		data_time 0.01		loss 0.769	prec@1 76.53	
Train: epoch-3 (4400/7410)	batch_time 0.08		data_time 0.01		loss 0.801	prec@1 75.66	
Train: epoch-3 (4600/7410)	batch_time 0.08		data_time 0.01		loss 0.754	prec@1 77.31	
Train: epoch-3 (4800/7410)	batch_time 0.08		data_time 0.01		loss 0.764	prec@1 76.09	
Train: epoch-3 (5000/7410)	batch_time 0.08		data_time 0.01		loss 0.774	prec@1 76.56	
Train: epoch-3 (5200/7410)	batch_time 0.08		data_time 0.01		loss 0.753	prec@1 77.19	
Train: epoch-3 (5400/7410)	batch_time 0.08		data_time 0.01		loss 0.756	prec@1 77.78	
Train: epoch-3 (5600/7410)	batch_time 0.08		data_time 0.01		loss 0.776	prec@1 75.66	
Train: epoch-3 (5800/7410)	batch_time 0.08		data_time 0.01		loss 0.761	prec@1 77.09	
Train: epoch-3 (6000/7410)	batch_time 0.08		data_time 0.01		loss 0.792	prec@1 76.31	
Train: epoch-3 (6200/7410)	batch_time 0.07		data_time 0.01		loss 0.802	prec@1 75.44	
Train: epoch-3 (6400/7410)	batch_time 0.08		data_time 0.01		loss 0.763	prec@1 77.84	
Train: epoch-3 (6600/7410)	batch_time 0.08		data_time 0.01		loss 0.771	prec@1 76.66	
Train: epoch-3 (6800/7410)	batch_time 0.08		data_time 0.01		loss 0.737	prec@1 77.44	
Train: epoch-3 (7000/7410)	batch_time 0.08		data_time 0.01		loss 0.723	prec@1 78.47	
Train: epoch-3 (7200/7410)	batch_time 0.08		data_time 0.01		loss 0.780	prec@1 76.88	
Train: epoch-3 (7400/7410)	batch_time 0.08		data_time 0.01		loss 0.797	prec@1 75.56	
Validate: Prec@1 90.11  Loss 0.326
Best Prec@1: 90.11

